,Month,Year,City,County,Category Name,Store Number,Store Name,Pack,Bottles Sold,Sale (Dollars),Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Volume Sold (Gallons)
1,1,2012,ACKLEY,WEBSTER,BLENDED WHISKIES,3591,Ackley Super Foods,6,12,169.98,1750,18.89,28.33,5.54
2,1,2012,ACKLEY,WEBSTER,CANADIAN WHISKIES,3591,Ackley Super Foods,9,36,383.25,1291.666667,44.09,66.33,11.49
3,1,2012,ACKLEY,WEBSTER,SCOTCH WHISKIES,3591,Ackley Super Foods,6,3,45.99,1750,10.22,15.33,1.39
4,1,2012,ACKLEY,WEBSTER,STRAIGHT BOURBON WHISKIES,3591,Ackley Super Foods,12,8,89.6,750,14.42,22.4,1.58
5,1,2012,ADAIR,ADAIR,BLENDED WHISKIES,4417,KUM & GO #76 / ADAIR,24,24,120,375,3.34,5,2.38
6,1,2012,ADAIR,ADAIR,CANADIAN WHISKIES,4417,KUM & GO #76 / ADAIR,14,103,928.85,725,58.34,87.88,17.13
7,1,2012,ADAIR,ADAIR,STRAIGHT RYE WHISKIES,4417,KUM & GO #76 / ADAIR,6,12,325.56,750,36.16,54.26,2.38
8,1,2012,ADAIR,ADAIR,TENNESSEE WHISKIES,4417,KUM & GO #76 / ADAIR,12,1,12.94,500,8.62,12.94,0.13
9,1,2012,ADEL,DALLAS,BLENDED WHISKIES,3064,Shugar's Super Valu / Adel,9,32,337.26,1083.333333,48.82,73.75,9.51
10,1,2012,ADEL,DALLAS,BLENDED WHISKIES,4384,Kum & Go #2093 / Adel,12,12,110.52,750,6.14,9.21,2.38
11,1,2012,ADEL,DALLAS,CANADIAN WHISKIES,3064,Shugar's Super Valu / Adel,8.769230769,46,672.18,1326.923077,130.07,195.08,16.61
12,1,2012,ADEL,DALLAS,CANADIAN WHISKIES,4384,Kum & Go #2093 / Adel,12,123,1274.5,967.3076923,83,124.87,37.57
13,1,2012,ADEL,DALLAS,SCOTCH WHISKIES,3064,Shugar's Super Valu / Adel,7.2,14,211.6,1550,50.1,75.14,5.93
14,1,2012,ADEL,DALLAS,STRAIGHT BOURBON WHISKIES,3064,Shugar's Super Valu / Adel,12,48,436.92,750,61.83,92.76,9.54
